A10,G8 Play  G8 Plus  G7 Plus,
XIAOMI REDMI 11 PRIME,Este Modelo já está disponível na tabela VIP,<button><a href="https://ofcell123.com.br/loja/" target="_blank" rel="noopener">Este Modelo já está disponível na tabela VIP</a></button>
MOTOROLA MOTO G64,Este Modelo já está disponível na tabela VIP,<button><a href="https://ofcell123.com.br/loja/" target="_blank" rel="noopener">Este Modelo já está disponível na tabela VIP</a></button>
MOTOROLA MOTO G55,Este Modelo já está disponível na tabela VIP,<button><a href="https://ofcell123.com.br/loja/" target="_blank" rel="noopener">Este Modelo já está disponível na tabela VIP</a></button>
POCO M6 PRO 5G,Este Modelo já está disponível na tabela VIP,<button><a href="https://ofcell123.com.br/loja/" target="_blank" rel="noopener">Este Modelo já está disponível na tabela VIP</a></button>
MOTOROLA MOTO E6i,MOTO E6S  / E6 PLUS /  LG K40S,
XIAOMI REDMI 14C,Este Modelo já está disponível na tabela VIP,<button><a href="https://ofcell123.com.br/loja/" target="_blank" rel="noopener">Este Modelo já está disponível na tabela VIP</a></button>
TCL 505  T509K,Este Modelo já está disponível na tabela VIP,<button><a href="https://ofcell123.com.br/loja/" target="_blank" rel="noopener">Este Modelo já está disponível na tabela VIP</a></button>
REALME C61,Este Modelo já está disponível na tabela VIP,<button><a href="https://ofcell123.com.br/loja/" target="_blank" rel="noopener">Este Modelo já está disponível na tabela VIP</a></button>
MOTOROLA MOTO E14,Este Modelo já está disponível na tabela VIP,<button><a href="https://ofcell123.com.br/loja/" target="_blank" rel="noopener">Este Modelo já está disponível na tabela VIP</a></button>
OPPO A40,Este Modelo já está disponível na tabela VIP,<button><a href="https://ofcell123.com.br/loja/" target="_blank" rel="noopener">Este Modelo já está disponível na tabela VIP</a></button>
IPHONE 11 PRO MAX,Este Modelo já está disponível na tabela VIP,<button><a href="https://ofcell123.com.br/loja/" target="_blank" rel="noopener">Este Modelo já está disponível na tabela VIP</a></button>
XIAOMI REDMI NOTE 14 4G,Este Modelo já está disponível na tabela VIP,<button><a href="https://ofcell123.com.br/loja/" target="_blank" rel="noopener">Este Modelo já está disponível na tabela VIP</a></button>
REALME NOTE 60X E 60,Este Modelo já está disponível na tabela VIP,<button><a href="https://ofcell123.com.br/loja/" target="_blank" rel="noopener">Este Modelo já está disponível na tabela VIP</a></button>
MOTOROLA  DEFY,MOTO G10 / G20 G30/     MOTO E7 / E7 POWER / E7 PLUS / G9 PLAY  REALME C25 / REALME C11 / SAMSUNG A23 / G20 / E20 / ONE FUSION / MOTO / E13,
SAMSUNG S22,SAMSUNG S23,<span class="highlight">Novo modelo disponível!</span>
